page;table;row_in_table;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
4;1;1;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
4;1;2;TOULOUSE;ROND POINT;ARNAUD-LOUIS GUITARD;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
4;1;3;TOULOUSE;RUE;ARRIA LY;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
4;1;4;TOULOUSE;RUE;ARSENE D ARSONVAL;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
4;1;5;TOULOUSE;IMPASSE;ARSENE VERMENOUZE;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
4;1;6;TOULOUSE;RUE;ARTHURUE HONEGGER;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
4;1;7;TOULOUSE;AVENUE;ARTHURUE HUC;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
4;1;8;TOULOUSE;RUE;ARTHURUE LEGOUST;1;;9999;;PI;LGT STEPHANE HESSEL - TOULOUSE
4;1;9;TOULOUSE;RUE;ARTHURUE RIMBAUD;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
4;1;10;TOULOUSE;RUE;ASPIRANT LEON BUFFET;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
4;1;11;TOULOUSE;RUE;AUBER;1;;9999;;PI;LGT OZENNE - TOULOUSE
4;1;12;TOULOUSE;RUE;AUDIGUIER;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
4;1;13;TOULOUSE;RUE;AUFRERY;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
4;1;14;TOULOUSE;PLACE;AUGUSTE ALBERT;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
4;1;15;TOULOUSE;RUE;AUGUSTE BARTHOLDI;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
